"SID","age","age.grp","study_name","trial","response","trial.type","correct","logical","foil"
"2014_2_4_102",4.24383561643836,4,"SCALES_REP_Control","Pasta","+","Inference",FALSE,TRUE,FALSE
"2014_2_11_103",4.11780821917808,4,"SCALES_REP_Control","Pasta","-","Inference",FALSE,FALSE,TRUE
"2014_2_11_104",3.92602739726027,3.5,"SCALES_REP_Control","Pasta","-","Inference",FALSE,FALSE,TRUE
"2014_2_11_105",3.4027397260274,3,"SCALES_REP_Control","Pasta","+","Inference",FALSE,TRUE,FALSE
"2014_2_11_106",4.72328767123288,4.5,"SCALES_REP_Control","Pasta","meat","Inference",TRUE,FALSE,FALSE
"2014_2_11_110",4.74794520547945,4.5,"SCALES_REP_Control","Pasta","+","Inference",FALSE,TRUE,FALSE
"2014_2_11_111",2.81643835616438,2.5,"SCALES_REP_Control","Pasta","+","Inference",FALSE,TRUE,FALSE
"2014_2_11_112",3.54520547945205,3.5,"SCALES_REP_Control","Pasta","-","Inference",FALSE,FALSE,TRUE
"2014_2_16_113",3.91780821917808,3.5,"SCALES_REP_Control","Pasta","meat","Inference",TRUE,FALSE,FALSE
"2014_2_16_114",3.40821917808219,3,"SCALES_REP_Control","Pasta","+","Inference",FALSE,TRUE,FALSE
"2014_2_16_115",4.32328767123288,4,"SCALES_REP_Control","Pasta","+","Inference",FALSE,TRUE,FALSE
"2014_2_18_130",4.61643835616438,4.5,"SCALES_REP_Control","Pasta","-","Inference",FALSE,FALSE,TRUE
"2014_2_18_134",3.07671232876712,3,"SCALES_REP_Control","Pasta","-","Inference",FALSE,FALSE,TRUE
"2014_2_18_135",3.46849315068493,3,"SCALES_REP_Control","Pasta","+","Inference",FALSE,TRUE,FALSE
"2014_2_18_136",4.48493150684931,4,"SCALES_REP_Control","Pasta","-","Inference",FALSE,FALSE,TRUE
"2014_2_18_137",4.02465753424658,4,"SCALES_REP_Control","Pasta","sauce","Inference",TRUE,FALSE,FALSE
"2014_2_18_138",2.53424657534247,2.5,"SCALES_REP_Control","Pasta","-","Inference",FALSE,FALSE,TRUE
"2014_2_18_139",3.00821917808219,3,"SCALES_REP_Control","Pasta","sauce","Inference",TRUE,FALSE,FALSE
"2014_2_18_140",3.31780821917808,3,"SCALES_REP_Control","Pasta","-","Inference",FALSE,FALSE,TRUE
"2014_2_28_141",2.48219178082192,2,"SCALES_REP_Control","Pasta","-","Inference",FALSE,FALSE,TRUE
"2014_2_28_142",4.75068493150685,4.5,"SCALES_REP_Control","Pasta","sauce","Inference",TRUE,FALSE,FALSE
"2014_2_28_144",2.00821917808219,2,"SCALES_REP_Control","Pasta","-","Inference",FALSE,FALSE,TRUE
"2014_2_28_145",4.63287671232877,4.5,"SCALES_REP_Control","Pasta","sauce","Inference",TRUE,FALSE,FALSE
"2014_2_28_146",2.37260273972603,2,"SCALES_REP_Control","Pasta","-","Inference",FALSE,FALSE,TRUE
"2014_2_28_147",2.51780821917808,2.5,"SCALES_REP_Control","Pasta","+","Inference",FALSE,TRUE,FALSE
"2014_2_28_149",3.97534246575342,3.5,"SCALES_REP_Control","Pasta","+","Inference",FALSE,TRUE,FALSE
"2014_2_28_150",3.8958904109589,3.5,"SCALES_REP_Control","Pasta","+","Inference",FALSE,TRUE,FALSE
"2014_2_28_151",3.13698630136986,3,"SCALES_REP_Control","Pasta","sauce","Inference",TRUE,FALSE,FALSE
"2014_3_4_153",2.60547945205479,2.5,"SCALES_REP_Control","Pasta","+","Inference",FALSE,TRUE,FALSE
"2014_3_4_154",4.67945205479452,4.5,"SCALES_REP_Control","Pasta","-","Inference",FALSE,FALSE,TRUE
"2014_3_4_155",4.83835616438356,4.5,"SCALES_REP_Control","Pasta","+","Inference",FALSE,TRUE,FALSE
"2014_3_4_157",3.04657534246575,3,"SCALES_REP_Control","Pasta","-","Inference",FALSE,FALSE,TRUE
"2014_3_4_158",2.76438356164384,2.5,"SCALES_REP_Control","Pasta","sauce","Inference",TRUE,FALSE,FALSE
"2014_3_4_159",2.32328767123288,2,"SCALES_REP_Control","Pasta","-","Inference",FALSE,FALSE,TRUE
"2014_3_4_160",4.47945205479452,4,"SCALES_REP_Control","Pasta","+","Inference",FALSE,TRUE,FALSE
"2014_3_7_161",4.74520547945205,4.5,"SCALES_REP_Control","Pasta","-","Inference",FALSE,FALSE,TRUE
"2014_3_7_165",2.81369863013699,2.5,"SCALES_REP_Control","Pasta","meat","Inference",TRUE,FALSE,FALSE
"2014_3_7_167",4.24931506849315,4,"SCALES_REP_Control","Pasta","-","Inference",FALSE,FALSE,TRUE
"2014_3_7_168",3.66575342465753,3.5,"SCALES_REP_Control","Pasta","-","Inference",FALSE,FALSE,TRUE
"2014_3_7_169",2.4027397260274,2,"SCALES_REP_Control","Pasta","meat","Inference",TRUE,FALSE,FALSE
"2014_3_7_170",4.15342465753425,4,"SCALES_REP_Control","Pasta","+","Inference",FALSE,TRUE,FALSE
"2014_3_14_171",3.23013698630137,3,"SCALES_REP_Control","Pasta","-","Inference",FALSE,FALSE,TRUE
"2014_3_14_172",4.62191780821918,4.5,"SCALES_REP_Control","Pasta","+","Inference",FALSE,TRUE,FALSE
"2014_3_14_173",3.60821917808219,3.5,"SCALES_REP_Control","Pasta","+","Inference",FALSE,TRUE,FALSE
"2014_3_14_174",4.0027397260274,4,"SCALES_REP_Control","Pasta","meat","Inference",TRUE,FALSE,FALSE
"2014_3_14_177",3.85753424657534,3.5,"SCALES_REP_Control","Pasta","-","Inference",FALSE,FALSE,TRUE
"2014_3_14_178",2.36986301369863,2,"SCALES_REP_Control","Pasta","-","Inference",FALSE,FALSE,TRUE
"2014_3_14_179",2.94520547945205,2.5,"SCALES_REP_Control","Pasta","meat","Inference",TRUE,FALSE,FALSE
"2014_3_14_180",3.43835616438356,3,"SCALES_REP_Control","Pasta","meat","Inference",TRUE,FALSE,FALSE
"2014_3_14_181",3.83287671232877,3.5,"SCALES_REP_Control","Pasta","+","Inference",FALSE,TRUE,FALSE
"2014_3_14_182",3.63013698630137,3.5,"SCALES_REP_Control","Pasta","-","Inference",FALSE,FALSE,TRUE
"2014_3_14_183",3.92328767123288,3.5,"SCALES_REP_Control","Pasta","-","Inference",FALSE,FALSE,TRUE
"2014_3_18_184",2.05479452054795,2,"SCALES_REP_Control","Pasta","meat","Inference",TRUE,FALSE,FALSE
"2014_3_18_189",4.36712328767123,4,"SCALES_REP_Control","Pasta","-","Inference",FALSE,FALSE,TRUE
"2014_3_18_190",4.34520547945205,4,"SCALES_REP_Control","Pasta","-","Inference",FALSE,FALSE,TRUE
"2014_3_18_191",2.53972602739726,2.5,"SCALES_REP_Control","Pasta","+","Inference",FALSE,TRUE,FALSE
"2014_3_18_193",4.46301369863014,4,"SCALES_REP_Control","Pasta","+","Inference",FALSE,TRUE,FALSE
"2014_3_19_195",2.18082191780822,2,"SCALES_REP_Control","Pasta","+","Inference",FALSE,TRUE,FALSE
"2014_3_19_197",2.28493150684932,2,"SCALES_REP_Control","Pasta","-","Inference",FALSE,FALSE,TRUE
"2014_3_19_198",3.79178082191781,3.5,"SCALES_REP_Control","Pasta","meat","Inference",TRUE,FALSE,FALSE
"2014_3_19_199",4.84383561643836,4.5,"SCALES_REP_Control","Pasta","meat","Inference",TRUE,FALSE,FALSE
"2014_3_20_201",2.93698630136986,2.5,"SCALES_REP_Control","Pasta","+","Inference",FALSE,TRUE,FALSE
"2014_3_20_202",2.43013698630137,2,"SCALES_REP_Control","Pasta","-","Inference",FALSE,FALSE,TRUE
"2014_3_20_203",2.45205479452055,2,"SCALES_REP_Control","Pasta","+","Inference",FALSE,TRUE,FALSE
"2014_3_20_206",2.86027397260274,2.5,"SCALES_REP_Control","Pasta","+","Inference",FALSE,TRUE,FALSE
"2014_3_25_207",2.96164383561644,2.5,"SCALES_REP_Control","Pasta","-","Inference",FALSE,FALSE,TRUE
"2014_3_25_208",4.79452054794521,4.5,"SCALES_REP_Control","Pasta","sauce","Inference",TRUE,FALSE,FALSE
"2014_3_25_209",3.16438356164384,3,"SCALES_REP_Control","Pasta","sauce","Inference",TRUE,FALSE,FALSE
"2014_3_25_210",2.38904109589041,2,"SCALES_REP_Control","Pasta","-","Inference",FALSE,FALSE,TRUE
"2014_3_25_211",2.74246575342466,2.5,"SCALES_REP_Control","Pasta","-","Inference",FALSE,FALSE,TRUE
"2014_3_25_213",3.45753424657534,3,"SCALES_REP_Control","Pasta","sauce","Inference",TRUE,FALSE,FALSE
"2014_1_14_1",2.67671232876712,2.5,"SCALES_REP","Beds","penguin","Inference",TRUE,FALSE,FALSE
"2014_1_14_3",4.66575342465753,4.5,"SCALES_REP","Beds","penguin","Inference",TRUE,FALSE,FALSE
"2014_1_14_4",3.4986301369863,3,"SCALES_REP","Beds","penguin","Inference",TRUE,FALSE,FALSE
"2014_1_17_6",3.0027397260274,3,"SCALES_REP","Beds","penguin","Inference",TRUE,FALSE,FALSE
"2014_1_20_11",4.87123287671233,4.5,"SCALES_REP","Beds","penguin","Inference",TRUE,FALSE,FALSE
"2014_1_20_12",3.72602739726027,3.5,"SCALES_REP","Beds","penguin","Inference",TRUE,FALSE,FALSE
"2014_1_20_13",4.07123287671233,4,"SCALES_REP","Beds","-","Inference",FALSE,FALSE,TRUE
"2014_1_20_14",3.2958904109589,3,"SCALES_REP","Beds","penguin","Inference",TRUE,FALSE,FALSE
"2014_1_20_15",4.25753424657534,4,"SCALES_REP","Beds","penguin","Inference",TRUE,FALSE,FALSE
"2014_1_20_17",2.67123287671233,2.5,"SCALES_REP","Beds","penguin","Inference",TRUE,FALSE,FALSE
"2014_1_20_19",2.79178082191781,2.5,"SCALES_REP","Beds","penguin","Inference",TRUE,FALSE,FALSE
"2014_1_20_20",2.90684931506849,2.5,"SCALES_REP","Beds","bear","Inference",TRUE,FALSE,FALSE
"2014_1_20_21",3.85753424657534,3.5,"SCALES_REP","Beds","bear","Inference",TRUE,FALSE,FALSE
"2014_1_20_22",4.76986301369863,4.5,"SCALES_REP","Beds","bear","Inference",TRUE,FALSE,FALSE
"2014_1_20_24",3.34246575342466,3,"SCALES_REP","Beds","-","Inference",FALSE,FALSE,TRUE
"2014_1_20_25",4.50684931506849,4.5,"SCALES_REP","Beds","bear","Inference",TRUE,FALSE,FALSE
"2014_1_21_26",3.23835616438356,3,"SCALES_REP","Beds","bear","Inference",TRUE,FALSE,FALSE
"2014_1_21_27",2.35342465753425,2,"SCALES_REP","Beds","-","Inference",FALSE,FALSE,TRUE
"2014_1_21_29",4.43287671232877,4,"SCALES_REP","Beds","bear","Inference",TRUE,FALSE,FALSE
"2014_1_21_30",2.34520547945205,2,"SCALES_REP","Beds","bear","Inference",TRUE,FALSE,FALSE
"2014_1_21_31",2.4958904109589,2,"SCALES_REP","Beds","+","Inference",FALSE,TRUE,FALSE
"2014_1_21_32",3.22739726027397,3,"SCALES_REP","Beds","bear","Inference",TRUE,FALSE,FALSE
"2014_1_21_33",3.98356164383562,3.5,"SCALES_REP","Beds","bear","Inference",TRUE,FALSE,FALSE
"2014_1_21_34",4.87397260273973,4.5,"SCALES_REP","Beds","bear","Inference",TRUE,FALSE,FALSE
"2014_1_21_37",4.3013698630137,4,"SCALES_REP","Beds","bear","Inference",TRUE,FALSE,FALSE
"2014_1_21_38",2.26301369863014,2,"SCALES_REP","Beds","+","Inference",FALSE,TRUE,FALSE
"2014_1_21_39",2.32602739726027,2,"SCALES_REP","Beds","+","Inference",FALSE,TRUE,FALSE
"2014_1_21_40",2.95342465753425,2.5,"SCALES_REP","Beds","bear","Inference",TRUE,FALSE,FALSE
"2014_1_26_41",4.18356164383562,4,"SCALES_REP","Beds","bear","Inference",TRUE,FALSE,FALSE
"2014_1_26_42",2.09041095890411,2,"SCALES_REP","Beds","+","Inference",FALSE,TRUE,FALSE
"2014_1_26_43",4.37260273972603,4,"SCALES_REP","Beds","bear","Inference",TRUE,FALSE,FALSE
"2014_1_26_44",3.60821917808219,3.5,"SCALES_REP","Beds","bear","Inference",TRUE,FALSE,FALSE
"2014_1_26_45",4,4,"SCALES_REP","Beds","bear","Inference",TRUE,FALSE,FALSE
"2014_1_26_46",3.67671232876712,3.5,"SCALES_REP","Beds","bear","Inference",TRUE,FALSE,FALSE
"2014_1_26_47",3.98630136986301,3.5,"SCALES_REP","Beds","bear","Inference",TRUE,FALSE,FALSE
"2014_1_26_48",4.5972602739726,4.5,"SCALES_REP","Beds","bear","Inference",TRUE,FALSE,FALSE
"2014_1_26_49",4.84383561643836,4.5,"SCALES_REP","Beds","bear","Inference",TRUE,FALSE,FALSE
"2014_1_26_50",4.9972602739726,4.5,"SCALES_REP","Beds","bear","Inference",TRUE,FALSE,FALSE
"2014_1_26_52",4.98082191780822,4.5,"SCALES_REP","Beds","bear","Inference",TRUE,FALSE,FALSE
"2014_1_26_53",3.5972602739726,3.5,"SCALES_REP","Beds","+","Inference",FALSE,TRUE,FALSE
"2014_1_26_55",3.30958904109589,3,"SCALES_REP","Beds","-","Inference",FALSE,FALSE,TRUE
"2014_1_28_57",2.63013698630137,2.5,"SCALES_REP","Beds","bear","Inference",TRUE,FALSE,FALSE
"2014_1_28_58",3.48493150684931,3,"SCALES_REP","Beds","bear","Inference",TRUE,FALSE,FALSE
"2014_1_28_60",2.96164383561644,2.5,"SCALES_REP","Beds","+","Inference",FALSE,TRUE,FALSE
"2014_1_28_61",2.59452054794521,2.5,"SCALES_REP","Beds","bear","Inference",TRUE,FALSE,FALSE
"2014_1_28_62",2.84383561643836,2.5,"SCALES_REP","Beds","+","Inference",FALSE,TRUE,FALSE
"2014_1_28_63",4.0027397260274,4,"SCALES_REP","Beds","bear","Inference",TRUE,FALSE,FALSE
"2014_1_28_64",3.73698630136986,3.5,"SCALES_REP","Beds","bear","Inference",TRUE,FALSE,FALSE
"2014_1_31_66",2.4027397260274,2,"SCALES_REP","Beds","-","Inference",FALSE,FALSE,TRUE
"2014_1_31_67",2.23287671232877,2,"SCALES_REP","Beds","-","Inference",FALSE,FALSE,TRUE
"2014_1_31_69",2.01369863013699,2,"SCALES_REP","Beds","penguin","Inference",TRUE,FALSE,FALSE
"2014_1_31_71",4.54246575342466,4.5,"SCALES_REP","Beds","penguin","Inference",TRUE,FALSE,FALSE
"2014_1_31_72",2.53150684931507,2.5,"SCALES_REP","Beds","penguin","Inference",TRUE,FALSE,FALSE
"2014_1_31_73",4.53698630136986,4.5,"SCALES_REP","Beds","+","Inference",FALSE,TRUE,FALSE
"2014_1_31_74",4.83835616438356,4.5,"SCALES_REP","Beds","penguin","Inference",TRUE,FALSE,FALSE
"2014_1_31_75",3.19178082191781,3,"SCALES_REP","Beds","+","Inference",FALSE,TRUE,FALSE
"2014_1_31_77",3.96986301369863,3.5,"SCALES_REP","Beds","penguin","Inference",TRUE,FALSE,FALSE
"2014_1_31_78",4.15068493150685,4,"SCALES_REP","Beds","penguin","Inference",TRUE,FALSE,FALSE
"2014_1_31_79",3.04657534246575,3,"SCALES_REP","Beds","+","Inference",FALSE,TRUE,FALSE
"2014_1_31_80",3.7041095890411,3.5,"SCALES_REP","Beds","penguin","Inference",TRUE,FALSE,FALSE
"2014_1_31_81",4.37808219178082,4,"SCALES_REP","Beds","penguin","Inference",TRUE,FALSE,FALSE
"2014_1_31_82",3.12876712328767,3,"SCALES_REP","Beds","penguin","Inference",TRUE,FALSE,FALSE
"2014_1_31_83",4.61917808219178,4.5,"SCALES_REP","Beds","+","Inference",FALSE,TRUE,FALSE
"2014_2_2_84",3.42465753424658,3,"SCALES_REP","Beds","penguin","Inference",TRUE,FALSE,FALSE
"2014_2_2_86",2.95616438356164,2.5,"SCALES_REP","Beds","+","Inference",FALSE,TRUE,FALSE
"2014_2_2_87",2.89315068493151,2.5,"SCALES_REP","Beds","+","Inference",FALSE,TRUE,FALSE
"2014_2_2_88",5,4,"SCALES_REP","Beds","penguin","Inference",TRUE,FALSE,FALSE
"2014_2_2_89",2.40821917808219,2,"SCALES_REP","Beds","+","Inference",FALSE,TRUE,FALSE
"2014_2_2_90",3.27397260273973,3,"SCALES_REP","Beds","+","Inference",FALSE,TRUE,FALSE
"2014_2_2_91",4.21917808219178,4,"SCALES_REP","Beds","+","Inference",FALSE,TRUE,FALSE
"2014_2_2_92",2.85205479452055,2.5,"SCALES_REP","Beds","+","Inference",FALSE,TRUE,FALSE
"2014_2_2_93",3.5013698630137,3.5,"SCALES_REP","Beds","penguin","Inference",TRUE,FALSE,FALSE
"2014_2_4_101",4.73698630136986,4.5,"SCALES_REP_Control","Beds","+","Inference",FALSE,TRUE,FALSE
"2014_2_4_102",4.24383561643836,4,"SCALES_REP_Control","Beds","+","Inference",FALSE,TRUE,FALSE
"2014_2_11_103",4.11780821917808,4,"SCALES_REP_Control","Beds","+","Inference",FALSE,TRUE,FALSE
"2014_2_11_104",3.92602739726027,3.5,"SCALES_REP_Control","Beds","-","Inference",FALSE,FALSE,TRUE
"2014_2_11_105",3.4027397260274,3,"SCALES_REP_Control","Beds","+","Inference",FALSE,TRUE,FALSE
"2014_2_11_106",4.72328767123288,4.5,"SCALES_REP_Control","Beds","+","Inference",FALSE,TRUE,FALSE
"2014_2_11_110",4.74794520547945,4.5,"SCALES_REP_Control","Beds","-","Inference",FALSE,FALSE,TRUE
"2014_2_11_111",2.81643835616438,2.5,"SCALES_REP_Control","Beds","+","Inference",FALSE,TRUE,FALSE
"2014_2_11_112",3.54520547945205,3.5,"SCALES_REP_Control","Beds","-","Inference",FALSE,FALSE,TRUE
"2014_2_16_113",3.91780821917808,3.5,"SCALES_REP_Control","Beds","+","Inference",FALSE,TRUE,FALSE
"2014_2_16_114",3.40821917808219,3,"SCALES_REP_Control","Beds","-","Inference",FALSE,FALSE,TRUE
"2014_2_16_115",4.32328767123288,4,"SCALES_REP_Control","Beds","+","Inference",FALSE,TRUE,FALSE
"2014_2_18_130",4.61643835616438,4.5,"SCALES_REP_Control","Beds","-","Inference",FALSE,FALSE,TRUE
"2014_2_18_134",3.07671232876712,3,"SCALES_REP_Control","Beds","+","Inference",FALSE,TRUE,FALSE
"2014_2_18_135",3.46849315068493,3,"SCALES_REP_Control","Beds","+","Inference",FALSE,TRUE,FALSE
"2014_2_18_136",4.48493150684931,4,"SCALES_REP_Control","Beds","+","Inference",FALSE,TRUE,FALSE
"2014_2_18_137",4.02465753424658,4,"SCALES_REP_Control","Beds","+","Inference",FALSE,TRUE,FALSE
"2014_2_18_138",2.53424657534247,2.5,"SCALES_REP_Control","Beds","+","Inference",FALSE,TRUE,FALSE
"2014_2_18_139",3.00821917808219,3,"SCALES_REP_Control","Beds","-","Inference",FALSE,FALSE,TRUE
"2014_2_18_140",3.31780821917808,3,"SCALES_REP_Control","Beds","+","Inference",FALSE,TRUE,FALSE
"2014_2_28_141",2.48219178082192,2,"SCALES_REP_Control","Beds","+","Inference",FALSE,TRUE,FALSE
"2014_2_28_142",4.75068493150685,4.5,"SCALES_REP_Control","Beds","+","Inference",FALSE,TRUE,FALSE
"2014_2_28_144",2.00821917808219,2,"SCALES_REP_Control","Beds","bear","Inference",TRUE,FALSE,FALSE
"2014_2_28_145",4.63287671232877,4.5,"SCALES_REP_Control","Beds","-","Inference",FALSE,FALSE,TRUE
"2014_2_28_146",2.37260273972603,2,"SCALES_REP_Control","Beds","-","Inference",FALSE,FALSE,TRUE
"2014_2_28_147",2.51780821917808,2.5,"SCALES_REP_Control","Beds","+","Inference",FALSE,TRUE,FALSE
"2014_2_28_149",3.97534246575342,3.5,"SCALES_REP_Control","Beds","penguin","Inference",TRUE,FALSE,FALSE
"2014_2_28_150",3.8958904109589,3.5,"SCALES_REP_Control","Beds","penguin","Inference",TRUE,FALSE,FALSE
"2014_2_28_151",3.13698630136986,3,"SCALES_REP_Control","Beds","+","Inference",FALSE,TRUE,FALSE
"2014_3_4_153",2.60547945205479,2.5,"SCALES_REP_Control","Beds","penguin","Inference",TRUE,FALSE,FALSE
"2014_3_4_154",4.67945205479452,4.5,"SCALES_REP_Control","Beds","penguin","Inference",TRUE,FALSE,FALSE
"2014_3_4_155",4.83835616438356,4.5,"SCALES_REP_Control","Beds","+","Inference",FALSE,TRUE,FALSE
"2014_3_4_157",3.04657534246575,3,"SCALES_REP_Control","Beds","penguin","Inference",TRUE,FALSE,FALSE
"2014_3_4_158",2.76438356164384,2.5,"SCALES_REP_Control","Beds","penguin","Inference",TRUE,FALSE,FALSE
"2014_3_4_159",2.32328767123288,2,"SCALES_REP_Control","Beds","penguin","Inference",TRUE,FALSE,FALSE
"2014_3_4_160",4.47945205479452,4,"SCALES_REP_Control","Beds","+","Inference",FALSE,TRUE,FALSE
"2014_3_7_161",4.74520547945205,4.5,"SCALES_REP_Control","Beds","-","Inference",FALSE,FALSE,TRUE
"2014_3_7_165",2.81369863013699,2.5,"SCALES_REP_Control","Beds","bear","Inference",TRUE,FALSE,FALSE
"2014_3_7_167",4.24931506849315,4,"SCALES_REP_Control","Beds","bear","Inference",TRUE,FALSE,FALSE
"2014_3_7_168",3.66575342465753,3.5,"SCALES_REP_Control","Beds","-","Inference",FALSE,FALSE,TRUE
"2014_3_7_169",2.4027397260274,2,"SCALES_REP_Control","Beds","+","Inference",FALSE,TRUE,FALSE
"2014_3_7_170",4.15342465753425,4,"SCALES_REP_Control","Beds","bear","Inference",TRUE,FALSE,FALSE
"2014_3_14_171",3.23013698630137,3,"SCALES_REP_Control","Beds","-","Inference",FALSE,FALSE,TRUE
"2014_3_14_172",4.62191780821918,4.5,"SCALES_REP_Control","Beds","+","Inference",FALSE,TRUE,FALSE
"2014_3_14_173",3.60821917808219,3.5,"SCALES_REP_Control","Beds","-","Inference",FALSE,FALSE,TRUE
"2014_3_14_174",4.0027397260274,4,"SCALES_REP_Control","Beds","-","Inference",FALSE,FALSE,TRUE
"2014_3_14_177",3.85753424657534,3.5,"SCALES_REP_Control","Beds","+","Inference",FALSE,TRUE,FALSE
"2014_3_14_178",2.36986301369863,2,"SCALES_REP_Control","Beds","+","Inference",FALSE,TRUE,FALSE
"2014_3_14_179",2.94520547945205,2.5,"SCALES_REP_Control","Beds","bear","Inference",TRUE,FALSE,FALSE
"2014_3_14_180",3.43835616438356,3,"SCALES_REP_Control","Beds","bear","Inference",TRUE,FALSE,FALSE
"2014_3_14_181",3.83287671232877,3.5,"SCALES_REP_Control","Beds","bear","Inference",TRUE,FALSE,FALSE
"2014_3_14_182",3.63013698630137,3.5,"SCALES_REP_Control","Beds","bear","Inference",TRUE,FALSE,FALSE
"2014_3_14_183",3.92328767123288,3.5,"SCALES_REP_Control","Beds","-","Inference",FALSE,FALSE,TRUE
"2014_3_18_184",2.05479452054795,2,"SCALES_REP_Control","Beds","+","Inference",FALSE,TRUE,FALSE
"2014_3_18_189",4.36712328767123,4,"SCALES_REP_Control","Beds","-","Inference",FALSE,FALSE,TRUE
"2014_3_18_190",4.34520547945205,4,"SCALES_REP_Control","Beds","bear","Inference",TRUE,FALSE,FALSE
"2014_3_18_191",2.53972602739726,2.5,"SCALES_REP_Control","Beds","+","Inference",FALSE,TRUE,FALSE
"2014_3_18_193",4.46301369863014,4,"SCALES_REP_Control","Beds","bear","Inference",TRUE,FALSE,FALSE
"2014_3_19_195",2.18082191780822,2,"SCALES_REP_Control","Beds","bear","Inference",TRUE,FALSE,FALSE
"2014_3_19_197",2.28493150684932,2,"SCALES_REP_Control","Beds","bear","Inference",TRUE,FALSE,FALSE
"2014_3_19_198",3.79178082191781,3.5,"SCALES_REP_Control","Beds","+","Inference",FALSE,TRUE,FALSE
"2014_3_19_199",4.84383561643836,4.5,"SCALES_REP_Control","Beds","+","Inference",FALSE,TRUE,FALSE
"2014_3_20_201",2.93698630136986,2.5,"SCALES_REP_Control","Beds","-","Inference",FALSE,FALSE,TRUE
"2014_3_20_202",2.43013698630137,2,"SCALES_REP_Control","Beds","+","Inference",FALSE,TRUE,FALSE
"2014_3_20_203",2.45205479452055,2,"SCALES_REP_Control","Beds","+","Inference",FALSE,TRUE,FALSE
"2014_3_20_206",2.86027397260274,2.5,"SCALES_REP_Control","Beds","+","Inference",FALSE,TRUE,FALSE
"2014_3_25_207",2.96164383561644,2.5,"SCALES_REP_Control","Beds","-","Inference",FALSE,FALSE,TRUE
"2014_3_25_208",4.79452054794521,4.5,"SCALES_REP_Control","Beds","penguin","Inference",TRUE,FALSE,FALSE
"2014_3_25_209",3.16438356164384,3,"SCALES_REP_Control","Beds","penguin","Inference",TRUE,FALSE,FALSE
"2014_3_25_210",2.38904109589041,2,"SCALES_REP_Control","Beds","+","Inference",FALSE,TRUE,FALSE
"2014_3_25_211",2.74246575342466,2.5,"SCALES_REP_Control","Beds","+","Inference",FALSE,TRUE,FALSE
"2014_3_25_213",3.45753424657534,3,"SCALES_REP_Control","Beds","-","Inference",FALSE,FALSE,TRUE
